,Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,RolePlaying,Shooter,Simulation,Sports,Strategy
46,46,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,4.4,2.77,3.96,0.77,11.9,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,Super Mario 64,N64,Nintendo,6.91,2.85,1.91,0.23,11.89,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA
48,48,Gran Turismo 4,PS2,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA
49,49,Super Mario Galaxy,Wii,Nintendo,6.16,3.4,1.2,0.76,11.52,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
50,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,4.23,3.37,3.08,0.65,11.33,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
51,51,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,6.16,2.04,2.69,0.29,11.18,NA,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,Grand Theft Auto IV,X360,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,53,Gran Turismo,PS,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA
54,54,Super Mario 3D Land,3DS,Nintendo,4.89,2.99,2.13,0.78,10.79,NA,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
55,55,Gran Turismo 5,PS3,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA
56,56,Call of Duty: Modern Warfare 2,PS3,Activision,4.99,3.69,0.38,1.63,10.69,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
57,57,Grand Theft Auto IV,PS3,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,58,Super Mario All-Stars,SNES,Nintendo,5.99,2.15,2.12,0.29,10.55,NA,NA,NA,NA,1993,NA,NA,NA,NA,NA,NA,NA
59,59,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,4.34,2.65,3.15,0.35,10.49,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA
60,60,Super Mario 64,DS,Nintendo,5.08,3.11,1.25,0.98,10.42,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA
61,61,Just Dance 3,Wii,Ubisoft,6.05,3.15,0,1.07,10.26,NA,NA,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA
62,62,Call of Duty: Ghosts,X360,Activision,6.72,2.63,0.04,0.82,10.21,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA
63,63,Halo: Reach,X360,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA
64,64,Mario Kart 64,N64,Nintendo,5.55,1.94,2.23,0.15,9.87,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA
65,65,New Super Mario Bros. 2,3DS,Nintendo,3.66,3.07,2.47,0.63,9.82,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
66,66,Halo 4,X360,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA
67,67,Final Fantasy VII,PS,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA,NA
68,68,Call of Duty: Ghosts,PS3,Activision,4.09,3.73,0.38,1.38,9.59,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA
69,69,Just Dance 2,Wii,Ubisoft,5.84,2.89,0.01,0.78,9.52,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
70,70,Gran Turismo 2,PS,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA
71,71,Call of Duty 4: Modern Warfare,X360,Activision,5.91,2.38,0.13,0.9,9.32,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA
72,72,Donkey Kong Country,SNES,Nintendo,4.36,1.71,3,0.23,9.3,NA,NA,NA,NA,1994,NA,NA,NA,NA,NA,NA,NA
73,73,Minecraft,X360,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA
74,74,Animal Crossing: New Leaf,3DS,Nintendo,2.01,2.32,4.36,0.41,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA
75,75,Mario Party DS,DS,Nintendo,4.46,1.88,1.98,0.7,9.02,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
76,76,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
77,77,Super Mario Kart,SNES,Nintendo,3.54,1.24,3.81,0.18,8.76,NA,NA,NA,NA,NA,NA,1992,NA,NA,NA,NA,NA
78,78,FIFA 16,PS4,Electronic Arts,1.11,6.06,0.06,1.26,8.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2105,NA
79,79,Wii Party,Wii,Nintendo,1.79,3.53,2.49,0.68,8.49,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA
80,80,Halo 2,XB,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,NA,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA
81,81,Mario Party 8,Wii,Nintendo,3.81,2.3,1.58,0.73,8.42,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA
82,82,Pokemon Black 2/Pokemon White 2,DS,Nintendo,2.91,1.86,3.14,0.43,8.33,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA
83,83,FIFA Soccer 13,PS3,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,84,The Sims 3,PC,Electronic Arts,0.98,6.42,0,0.71,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA
85,85,GoldenEye 007,N64,Nintendo,5.8,2.01,0.13,0.15,8.09,NA,NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,NA
86,86,Mario & Sonic at the Olympic Games,Wii,Sega,2.58,3.9,0.66,0.91,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA
87,87,Final Fantasy X,PS2,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA
88,88,Final Fantasy VIII,PS,SquareSoft,2.28,1.72,3.63,0.23,7.86,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA
89,89,Pokémon Platinum Version,DS,Nintendo,2.82,1.78,2.69,0.55,7.84,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
90,90,Pac-Man,2600,Atari,7.28,0.45,0,0.08,7.81,NA,NA,NA,NA,NA,1982,NA,NA,NA,NA,NA,NA
91,91,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,92,Super Mario Galaxy 2,Wii,Nintendo,3.66,2.42,0.98,0.64,7.69,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
93,93,Star Wars Battlefront (2015),PS4,Electronic Arts,2.93,3.29,0.22,1.23,7.67,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA
94,94,Call of Duty: Advanced Warfare,PS4,Activision,2.8,3.3,0.14,1.37,7.6,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA
95,95,The Legend of Zelda: Ocarina of Time,N64,Nintendo,4.1,1.89,1.45,0.16,7.6,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,96,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,NA,NA,NA,NA,1997,NA,NA,NA,NA,NA,NA,NA
97,97,Super Mario Bros. 2,nes,Nintendo,5.39,1.18,0.7,0.19,7.46,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA,NA
98,98,Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,3.24,1.35,2.42,0.43,7.45,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,99,Call of Duty: World at War,X360,Activision,4.79,1.9,0,0.69,7.37,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA
100,100,Battlefield 3,X360,Electronic Arts,4.46,2.13,0.06,0.69,7.34,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
101,101,The Legend of Zelda: Twilight Princess,Wii,Nintendo,3.83,2.19,0.6,0.7,7.31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,102,Call of Duty: Black Ops 3,XOne,Activision,4.52,2.09,0.01,0.67,7.3,NA,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA
103,103,Just Dance,Wii,Ubisoft,3.51,3.03,0,0.73,7.27,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA
104,104,Battlefield 3,PS3,Electronic Arts,2.85,2.93,0.35,1.1,7.23,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
105,105,Need for Speed Underground,PS2,Electronic Arts,3.27,2.83,0.08,1.02,7.2,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
106,106,Tekken 3,PS,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,107,Crash Bandicoot 3: Warped,PS,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,NA,NA,NA,NA,1998,NA,NA,NA,NA,NA,NA,NA
108,108,Super Smash Bros. Melee,GC,Nintendo,4.41,1.04,1.39,0.22,7.07,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,109,Mario Kart 8,WiiU,Nintendo,3.13,2.07,1.27,0.49,6.96,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA
110,110,Fallout 4,PS4,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,NA,NA,NA,NA,NA,NA,NA,2015,NA,NA,NA,NA
111,111,Mario Kart: Double Dash!!,GC,Nintendo,4.12,1.77,0.87,0.19,6.95,NA,NA,NA,NA,NA,NA,2003,NA,NA,NA,NA,NA
112,112,Just Dance 4,Wii,Ubisoft,4.14,2.21,0,0.56,6.91,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA
113,113,FIFA 14,PS3,Electronic Arts,0.78,4.32,0.07,1.73,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA
114,114,Need for Speed Underground 2,PS2,Electronic Arts,2.71,3.02,0.08,1.09,6.9,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA
115,115,Medal of Honor: Frontline,PS2,Electronic Arts,2.93,2.75,0.17,0.99,6.83,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA
116,116,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,117,Crash Bandicoot,PS,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA
118,118,Zumba Fitness,Wii,505 Games,3.5,2.64,0,0.67,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
119,119,Gears of War 2,X360,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA
120,120,Uncharted 2: Among Thieves,PS3,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,121,Call of Duty 4: Modern Warfare,PS3,Activision,3.1,2.3,0.28,1.04,6.72,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA
122,122,FIFA 12,PS3,Electronic Arts,0.84,4.32,0.11,1.42,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA
123,123,Big Brain Academy,DS,Nintendo,1.67,2.78,1.6,0.62,6.67,NA,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA
124,124,Red Dead Redemption,PS3,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,125,FIFA 15,PS4,Electronic Arts,0.79,4.29,0.05,1.47,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA
126,126,Donkey Kong Country Returns,Wii,Nintendo,3.25,1.84,1.03,0.47,6.59,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
127,127,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
128,128,The Legend of Zelda,nes,Nintendo,3.74,0.93,1.69,0.14,6.51,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,129,Assassin's Creed III,PS3,Ubisoft,2.64,2.56,0.16,1.14,6.5,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,130,Halo: Combat Evolved,XBOX,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA
131,131,Pokémon Emerald Version,GBA,Nintendo,2.57,1.58,2.06,0.21,6.41,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA
132,132,Kingdom Hearts,PS2,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA
133,133,Pokémon Crystal Version,GB,Nintendo,2.55,1.56,1.29,0.99,6.39,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA
134,134,Halo 3: ODST,X360,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA
135,135,Red Dead Redemption,X360,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,136,Super Mario Sunshine,GC,Nintendo,4.01,1.26,0.87,0.17,6.31,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA
137,137,Street Fighter II: The World Warrior,SNES,Capcom,2.47,0.83,2.87,0.12,6.3,NA,NA,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,138,World of Warcraft,PC,Activision,0.07,6.21,0,0,6.28,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA
139,139,Driver,PS,GT Interactive,3.11,2.8,0.02,0.33,6.27,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,140,Kinect Sports,X360,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA
141,141,Gears of War 3,X360,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA
142,142,Gears of War,X360,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA
143,143,Metal Gear Solid 2: Sons of Liberty,PS2,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,144,Sonic the Hedgehog 2,GEN,Sega,,,0.16,0.19,6.03,NA,NA,NA,NA,1992,NA,NA,NA,NA,NA,NA,NA
145,145,Metal Gear Solid 4: Guns of the Patriots,PS3,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,146,Metal Gear Solid,PS,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,147,The Last of Us,PS3,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,148,Final Fantasy XII,PS2,Square Enix,1.88,0,2.33,1.74,5.95,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
149,149,LittleBigPlanet,PS3,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,NA,NA,NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
150,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,Nintendo,0.66,0.69,4.35,0.15,5.84,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
151,151,LEGO Star Wars: The Complete Saga,Wii,LucasArts,3.66,1.63,0,0.53,5.83,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,152,Resident Evil 2,PS,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,153,Tekken 2,PS,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,154,Cooking Mama,DS,505 Games,3.13,1.94,0.07,0.58,5.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA
155,155,Destiny,PS4,Activision,2.49,2.05,0.16,0.96,5.65,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA
156,156,Tetris,NES,Nintendo,2.97,0.69,1.81,0.11,5.58,NA,NA,NA,NA,NA,1988,NA,NA,NA,NA,NA,NA
157,157,Assassin's Creed II,PS3,Ubisoft,2.54,1.95,0.21,0.87,5.57,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,158,Super Smash Bros.,N64,Nintendo,2.95,0.6,1.97,0.04,5.55,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,159,Assassin's Creed,X360,Ubisoft,3.28,1.65,0.07,0.55,5.55,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,160,Batman: Arkham City,PS3,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,161,Forza Motorsport 3,X360,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA
162,162,Monster Hunter Freedom Unite,PSP,Capcom,0.47,0.57,4.13,0.34,5.5,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
163,163,Super Mario Advance,GBA,Nintendo,3.14,1.24,0.91,0.2,5.49,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA
164,164,Mario Kart: Super Circuit,GBA,Nintendo,2.62,1.64,0.99,0.23,5.47,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA
165,165,Super Mario World,GBA,Nintendo,3.21,1.11,0.95,0.2,5.46,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA
166,166,Pokemon Stadium,N64,Nintendo,3.18,1.24,0.94,0.09,5.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999
